time_step,workpiece_id,step_idx,workcell_id,production_time,actual_quality,qc_wc_1_confidence,qc_wc_1_results,qc_wc_1_time,qc_wc_2_confidence,qc_wc_2_results,qc_wc_2_time,qc_wc_3_confidence,qc_wc_3_results,qc_wc_3_time,qc_wc_4_confidence,qc_wc_4_results,qc_wc_4_time,qc_wc_5_confidence,qc_wc_5_results,qc_wc_5_time,qc_wc_6_confidence,qc_wc_6_results,qc_wc_6_time,qc_wc_7_confidence,qc_wc_7_results,qc_wc_7_time,qc_wc_8_confidence,qc_wc_8_results,qc_wc_8_time,qc_wc_9_confidence,qc_wc_9_results,qc_wc_9_time,qc_wc_10_confidence,qc_wc_10_results,qc_wc_10_time,qc_wc_11_confidence,qc_wc_11_results,qc_wc_11_time,qc_wc_12_confidence,qc_wc_12_results,qc_wc_12_time,qc_wc_13_confidence,qc_wc_13_results,qc_wc_13_time,qc_wc_14_confidence,qc_wc_14_results,qc_wc_14_time,qc_wc_15_confidence,qc_wc_15_results,qc_wc_15_time,qc_wc_16_confidence,qc_wc_16_results,qc_wc_16_time,qc_wc_17_confidence,qc_wc_17_results,qc_wc_17_time
0.0,wp_1,1.0,wc_1,71.0,"{'Pass': 58, 'Fail': 42}",1.0,['Pass'],31.0,0.5,['Pass'],36.0,0.6,['Pass'],32.0,0.8,['Pass'],26.0,0.7,['Pass'],32.0,0.8,['Fail'],32.0,0.9,['Fail'],28.0,0.3,['Pass'],23.0,1.0,['Pass'],21.0,0.3,['Pass'],24.0,0.6,['Pass'],35.0,0.6,['Pass'],34.0,0.4,['Fail'],39.0,0.5,['Pass'],27.0,0.7,['Fail'],21.0,0.5,['Pass'],30.0,0.3,['Fail'],23.0
72.0,wp_1,4.0,wc_4,62.0,"{'Pass': 2, 'Fail': 98}",1.0,['Fail'],27.0,0.5,['Fail'],24.0,0.6,['Fail'],37.0,0.8,['Fail'],25.0,0.7,['Fail'],31.0,0.8,['Fail'],28.0,0.9,['Fail'],25.0,0.3,['Pass'],21.0,1.0,['Fail'],21.0,0.3,['Fail'],20.0,0.6,['Fail'],37.0,0.6,['Fail'],22.0,0.4,['Pass'],20.0,0.5,['Fail'],35.0,0.7,['Fail'],27.0,0.5,['Fail'],35.0,0.3,['Fail'],31.0
71.0,wp_2,1.0,wc_1,75.0,"{'Pass': 39, 'Fail': 61}",1.0,['Fail'],30.0,0.5,['Pass'],21.0,0.6,['Fail'],33.0,0.8,['Fail'],27.0,0.7,['Pass'],26.0,0.8,['Fail'],27.0,0.9,['Fail'],26.0,0.3,['Pass'],27.0,1.0,['Fail'],35.0,0.3,['Pass'],36.0,0.6,['Fail'],22.0,0.6,['Fail'],32.0,0.4,['Pass'],34.0,0.5,['Fail'],31.0,0.7,['Fail'],21.0,0.5,['Fail'],23.0,0.3,['Fail'],22.0
135.0,wp_1,2.0,wc_2,50.0,"{'Pass': 98, 'Fail': 2}",1.0,['Pass'],40.0,0.5,['Pass'],32.0,0.6,['Pass'],30.0,0.8,['Pass'],39.0,0.7,['Pass'],26.0,0.8,['Pass'],27.0,0.9,['Pass'],28.0,0.3,['Fail'],27.0,1.0,['Pass'],33.0,0.3,['Fail'],29.0,0.6,['Pass'],22.0,0.6,['Pass'],39.0,0.4,['Pass'],27.0,0.5,['Pass'],39.0,0.7,['Pass'],36.0,0.5,['Pass'],25.0,0.3,['Pass'],31.0
146.0,wp_3,1.0,wc_1,60.0,"{'Pass': 30, 'Fail': 70}",1.0,['Fail'],37.0,0.5,['Fail'],23.0,0.6,['Fail'],20.0,0.8,['Fail'],33.0,0.7,['Fail'],35.0,0.8,['Fail'],29.0,0.9,['Fail'],30.0,0.3,['Fail'],25.0,1.0,['Fail'],30.0,0.3,['Pass'],34.0,0.6,['Fail'],24.0,0.6,['Fail'],33.0,0.4,['Fail'],25.0,0.5,['Pass'],37.0,0.7,['Fail'],37.0,0.5,['Fail'],22.0,0.3,['Pass'],34.0
186.0,wp_1,3.0,wc_3,51.0,"{'Pass': 99, 'Fail': 1}",1.0,['Pass'],21.0,0.5,['Pass'],22.0,0.6,['Pass'],30.0,0.8,['Pass'],30.0,0.7,['Pass'],20.0,0.8,['Pass'],28.0,0.9,['Pass'],33.0,0.3,['Pass'],29.0,1.0,['Pass'],29.0,0.3,['Pass'],40.0,0.6,['Pass'],21.0,0.6,['Pass'],33.0,0.4,['Pass'],36.0,0.5,['Pass'],22.0,0.7,['Pass'],22.0,0.5,['Pass'],30.0,0.3,['Pass'],30.0
206.0,wp_4,1.0,wc_1,53.0,"{'Pass': 95, 'Fail': 5}",1.0,['Pass'],22.0,0.5,['Pass'],25.0,0.6,['Pass'],31.0,0.8,['Pass'],28.0,0.7,['Pass'],29.0,0.8,['Pass'],40.0,0.9,['Pass'],22.0,0.3,['Pass'],37.0,1.0,['Pass'],30.0,0.3,['Pass'],33.0,0.6,['Pass'],25.0,0.6,['Pass'],24.0,0.4,['Pass'],39.0,0.5,['Pass'],25.0,0.7,['Pass'],31.0,0.5,['Pass'],33.0,0.3,['Fail'],34.0
238.0,wp_1,4.0,wc_4,58.0,"{'Pass': 64, 'Fail': 36}",1.0,['Pass'],28.0,0.5,['Pass'],40.0,0.6,['Pass'],38.0,0.8,['Pass'],24.0,0.7,['Fail'],38.0,0.8,['Pass'],25.0,0.9,['Pass'],22.0,0.3,['Fail'],22.0,1.0,['Pass'],37.0,0.3,['Pass'],26.0,0.6,['Pass'],30.0,0.6,['Fail'],37.0,0.4,['Pass'],31.0,0.5,['Pass'],29.0,0.7,['Pass'],35.0,0.5,['Pass'],27.0,0.3,['Fail'],33.0
260.0,wp_4,2.0,wc_2,68.0,"{'Pass': 95, 'Fail': 5}",1.0,['Pass'],27.0,0.5,['Pass'],27.0,0.6,['Pass'],37.0,0.8,['Pass'],31.0,0.7,['Pass'],25.0,0.8,['Pass'],36.0,0.9,['Pass'],25.0,0.3,['Pass'],20.0,1.0,['Pass'],20.0,0.3,['Fail'],37.0,0.6,['Pass'],36.0,0.6,['Pass'],23.0,0.4,['Pass'],34.0,0.5,['Pass'],35.0,0.7,['Pass'],33.0,0.5,['Pass'],26.0,0.3,['Pass'],28.0
259.0,wp_5,1.0,wc_1,77.0,"{'Pass': 67, 'Fail': 33}",1.0,['Pass'],35.0,0.5,['Pass'],23.0,0.6,['Pass'],27.0,0.8,['Pass'],22.0,0.7,['Fail'],28.0,0.8,['Pass'],40.0,0.9,['Pass'],37.0,0.3,['Fail'],33.0,1.0,['Pass'],23.0,0.3,['Pass'],25.0,0.6,['Pass'],38.0,0.6,['Pass'],23.0,0.4,['Pass'],24.0,0.5,['Pass'],25.0,0.7,['Pass'],24.0,0.5,['Pass'],34.0,0.3,['Fail'],28.0
297.0,wp_1,5.0,wc_5,62.0,"{'Pass': 40, 'Fail': 60}",1.0,['Fail'],26.0,0.5,['Fail'],40.0,0.6,['Fail'],29.0,0.8,['Pass'],40.0,0.7,['Fail'],20.0,0.8,['Fail'],29.0,0.9,['Fail'],23.0,0.3,['Fail'],39.0,1.0,['Pass'],22.0,0.3,['Fail'],36.0,0.6,['Fail'],33.0,0.6,['Fail'],26.0,0.4,['Fail'],38.0,0.5,['Pass'],26.0,0.7,['Pass'],24.0,0.5,['Fail'],26.0,0.3,['Fail'],32.0
337.0,wp_5,4.0,wc_4,58.0,"{'Pass': 41, 'Fail': 59}",1.0,['Pass'],36.0,0.5,['Pass'],25.0,0.6,['Pass'],38.0,0.8,['Fail'],27.0,0.7,['Fail'],27.0,0.8,['Pass'],36.0,0.9,['Fail'],35.0,0.3,['Fail'],22.0,1.0,['Fail'],28.0,0.3,['Pass'],27.0,0.6,['Fail'],26.0,0.6,['Fail'],31.0,0.4,['Fail'],37.0,0.5,['Pass'],31.0,0.7,['Fail'],28.0,0.5,['Fail'],38.0,0.3,['Pass'],27.0
329.0,wp_4,3.0,wc_3,68.0,"{'Pass': 85, 'Fail': 15}",1.0,['Pass'],22.0,0.5,['Pass'],33.0,0.6,['Pass'],35.0,0.8,['Pass'],28.0,0.7,['Pass'],22.0,0.8,['Pass'],23.0,0.9,['Pass'],32.0,0.3,['Pass'],24.0,1.0,['Pass'],36.0,0.3,['Fail'],36.0,0.6,['Pass'],20.0,0.6,['Pass'],26.0,0.4,['Pass'],32.0,0.5,['Pass'],40.0,0.7,['Pass'],37.0,0.5,['Pass'],38.0,0.3,['Pass'],35.0
336.0,wp_6,1.0,wc_1,78.0,"{'Pass': 33, 'Fail': 67}",1.0,['Fail'],29.0,0.5,['Fail'],35.0,0.6,['Pass'],32.0,0.8,['Fail'],32.0,0.7,['Fail'],30.0,0.8,['Fail'],24.0,0.9,['Fail'],32.0,0.3,['Pass'],32.0,1.0,['Fail'],28.0,0.3,['Pass'],27.0,0.6,['Pass'],33.0,0.6,['Fail'],26.0,0.4,['Pass'],24.0,0.5,['Fail'],29.0,0.7,['Fail'],26.0,0.5,['Fail'],39.0,0.3,['Fail'],34.0
360.0,wp_1,5.0,wc_5,66.0,"{'Pass': 0, 'Fail': 100}",1.0,['Fail'],34.0,0.5,['Fail'],27.0,0.6,['Fail'],34.0,0.8,['Fail'],20.0,0.7,['Fail'],32.0,0.8,['Fail'],31.0,0.9,['Fail'],29.0,0.3,['Fail'],32.0,1.0,['Fail'],21.0,0.3,['Fail'],40.0,0.6,['Fail'],39.0,0.6,['Fail'],34.0,0.4,['Fail'],27.0,0.5,['Fail'],23.0,0.7,['Fail'],20.0,0.5,['Fail'],21.0,0.3,['Fail'],35.0
