time_step,workpiece_id,step_idx,workcell_id,production_time,actual_quality,qc_wc_1_confidence,qc_wc_1_results,qc_wc_1_time,qc_wc_2_confidence,qc_wc_2_results,qc_wc_2_time,qc_wc_3_confidence,qc_wc_3_results,qc_wc_3_time,qc_wc_4_confidence,qc_wc_4_results,qc_wc_4_time,qc_wc_5_confidence,qc_wc_5_results,qc_wc_5_time,qc_wc_6_confidence,qc_wc_6_results,qc_wc_6_time,qc_wc_7_confidence,qc_wc_7_results,qc_wc_7_time,qc_wc_8_confidence,qc_wc_8_results,qc_wc_8_time,qc_wc_9_confidence,qc_wc_9_results,qc_wc_9_time,qc_wc_10_confidence,qc_wc_10_results,qc_wc_10_time,qc_wc_11_confidence,qc_wc_11_results,qc_wc_11_time,qc_wc_12_confidence,qc_wc_12_results,qc_wc_12_time,qc_wc_13_confidence,qc_wc_13_results,qc_wc_13_time,qc_wc_14_confidence,qc_wc_14_results,qc_wc_14_time,qc_wc_15_confidence,qc_wc_15_results,qc_wc_15_time,qc_wc_16_confidence,qc_wc_16_results,qc_wc_16_time,qc_wc_17_confidence,qc_wc_17_results,qc_wc_17_time
0.0,wp_1,1.0,wc_1,69.0,"{'Pass': 32, 'Fail': 68}",0.7,['Fail'],29.0,0.8,['Fail'],37.0,0.4,['Pass'],39.0,0.1,['Pass'],31.0,0.1,['Pass'],35.0,1.0,['Fail'],30.0,1.0,['Fail'],32.0,0.1,['Pass'],29.0,0.6,['Fail'],25.0,0.3,['Fail'],27.0,0.8,['Fail'],28.0,0.9,['Fail'],37.0,0.8,['Fail'],37.0,0.2,['Fail'],31.0,0.9,['Fail'],32.0,0.8,['Fail'],23.0,0.6,['Fail'],39.0
69.0,wp_2,1.0,wc_1,56.0,"{'Pass': 3, 'Fail': 97}",0.7,['Fail'],25.0,0.8,['Fail'],25.0,0.4,['Fail'],21.0,0.1,['Fail'],34.0,0.1,['Fail'],38.0,1.0,['Fail'],34.0,1.0,['Fail'],21.0,0.1,['Fail'],40.0,0.6,['Fail'],37.0,0.3,['Fail'],21.0,0.8,['Fail'],26.0,0.9,['Fail'],25.0,0.8,['Fail'],20.0,0.2,['Fail'],31.0,0.9,['Fail'],23.0,0.8,['Fail'],27.0,0.6,['Fail'],27.0
125.0,wp_3,1.0,wc_1,61.0,"{'Pass': 62, 'Fail': 38}",0.7,['Pass'],25.0,0.8,['Fail'],36.0,0.4,['Pass'],24.0,0.1,['Fail'],38.0,0.1,['Pass'],36.0,1.0,['Pass'],25.0,1.0,['Pass'],37.0,0.1,['Fail'],26.0,0.6,['Pass'],25.0,0.3,['Fail'],23.0,0.8,['Pass'],36.0,0.9,['Pass'],35.0,0.8,['Pass'],31.0,0.2,['Pass'],33.0,0.9,['Fail'],24.0,0.8,['Pass'],28.0,0.6,['Pass'],25.0
187.0,wp_3,2.0,wc_2,55.0,"{'Pass': 18, 'Fail': 82}",0.7,['Fail'],22.0,0.8,['Fail'],33.0,0.4,['Fail'],20.0,0.1,['Fail'],24.0,0.1,['Pass'],30.0,1.0,['Fail'],39.0,1.0,['Fail'],34.0,0.1,['Fail'],36.0,0.6,['Fail'],32.0,0.3,['Fail'],20.0,0.8,['Fail'],25.0,0.9,['Fail'],33.0,0.8,['Fail'],39.0,0.2,['Fail'],21.0,0.9,['Fail'],31.0,0.8,['Fail'],37.0,0.6,['Fail'],22.0
186.0,wp_4,1.0,wc_1,61.0,"{'Pass': 25, 'Fail': 75}",0.7,['Fail'],29.0,0.8,['Fail'],40.0,0.4,['Pass'],28.0,0.1,['Fail'],34.0,0.1,['Fail'],35.0,1.0,['Fail'],30.0,1.0,['Fail'],31.0,0.1,['Pass'],38.0,0.6,['Fail'],31.0,0.3,['Pass'],36.0,0.8,['Fail'],27.0,0.9,['Fail'],39.0,0.8,['Fail'],31.0,0.2,['Fail'],40.0,0.9,['Fail'],36.0,0.8,['Fail'],32.0,0.6,['Fail'],31.0
243.0,wp_3,4.0,wc_4,74.0,"{'Pass': 39, 'Fail': 61}",0.7,['Fail'],39.0,0.8,['Fail'],29.0,0.4,['Pass'],21.0,0.1,['Pass'],24.0,0.1,['Pass'],26.0,1.0,['Fail'],22.0,1.0,['Fail'],34.0,0.1,['Fail'],39.0,0.6,['Pass'],36.0,0.3,['Fail'],38.0,0.8,['Fail'],39.0,0.9,['Fail'],30.0,0.8,['Fail'],25.0,0.2,['Pass'],21.0,0.9,['Fail'],38.0,0.8,['Fail'],39.0,0.6,['Fail'],33.0
247.0,wp_5,1.0,wc_1,79.0,"{'Pass': 81, 'Fail': 19}",0.7,['Pass'],37.0,0.8,['Pass'],21.0,0.4,['Pass'],39.0,0.1,['Fail'],34.0,0.1,['Pass'],27.0,1.0,['Pass'],29.0,1.0,['Pass'],38.0,0.1,['Pass'],38.0,0.6,['Pass'],23.0,0.3,['Fail'],39.0,0.8,['Pass'],29.0,0.9,['Pass'],20.0,0.8,['Pass'],36.0,0.2,['Pass'],25.0,0.9,['Pass'],27.0,0.8,['Pass'],32.0,0.6,['Pass'],40.0
318.0,wp_3,3.0,wc_3,72.0,"{'Pass': 73, 'Fail': 27}",0.7,['Pass'],27.0,0.8,['Fail'],29.0,0.4,['Pass'],28.0,0.1,['Pass'],38.0,0.1,['Pass'],35.0,1.0,['Pass'],33.0,1.0,['Pass'],20.0,0.1,['Fail'],25.0,0.6,['Pass'],26.0,0.3,['Pass'],40.0,0.8,['Pass'],39.0,0.9,['Pass'],25.0,0.8,['Fail'],28.0,0.2,['Fail'],39.0,0.9,['Pass'],22.0,0.8,['Pass'],29.0,0.6,['Pass'],24.0
326.0,wp_6,1.0,wc_1,69.0,"{'Pass': 79, 'Fail': 21}",0.7,['Pass'],24.0,0.8,['Pass'],34.0,0.4,['Pass'],30.0,0.1,['Fail'],35.0,0.1,['Fail'],26.0,1.0,['Pass'],33.0,1.0,['Pass'],27.0,0.1,['Fail'],22.0,0.6,['Fail'],28.0,0.3,['Pass'],33.0,0.8,['Pass'],28.0,0.9,['Pass'],34.0,0.8,['Pass'],23.0,0.2,['Pass'],20.0,0.9,['Pass'],34.0,0.8,['Pass'],37.0,0.6,['Pass'],27.0
327.0,wp_5,2.0,wc_2,72.0,"{'Pass': 88, 'Fail': 12}",0.7,['Pass'],26.0,0.8,['Pass'],36.0,0.4,['Pass'],24.0,0.1,['Fail'],27.0,0.1,['Fail'],38.0,1.0,['Pass'],25.0,1.0,['Pass'],20.0,0.1,['Pass'],38.0,0.6,['Pass'],33.0,0.3,['Pass'],21.0,0.8,['Pass'],33.0,0.9,['Pass'],39.0,0.8,['Pass'],28.0,0.2,['Pass'],33.0,0.9,['Pass'],39.0,0.8,['Pass'],34.0,0.6,['Pass'],31.0
391.0,wp_3,4.0,wc_4,60.0,"{'Pass': 32, 'Fail': 68}",0.7,['Fail'],38.0,0.8,['Fail'],28.0,0.4,['Fail'],30.0,0.1,['Fail'],40.0,0.1,['Pass'],28.0,1.0,['Fail'],30.0,1.0,['Fail'],39.0,0.1,['Fail'],25.0,0.6,['Fail'],23.0,0.3,['Fail'],40.0,0.8,['Fail'],28.0,0.9,['Fail'],21.0,0.8,['Fail'],21.0,0.2,['Pass'],20.0,0.9,['Fail'],31.0,0.8,['Fail'],33.0,0.6,['Fail'],34.0
396.0,wp_6,3.0,wc_3,77.0,"{'Pass': 52, 'Fail': 48}",0.7,['Pass'],22.0,0.8,['Fail'],40.0,0.4,['Pass'],24.0,0.1,['Fail'],22.0,0.1,['Fail'],20.0,1.0,['Pass'],34.0,1.0,['Pass'],21.0,0.1,['Fail'],28.0,0.6,['Fail'],31.0,0.3,['Pass'],33.0,0.8,['Pass'],29.0,0.9,['Fail'],33.0,0.8,['Fail'],28.0,0.2,['Fail'],31.0,0.9,['Pass'],23.0,0.8,['Fail'],37.0,0.6,['Fail'],27.0
395.0,wp_7,1.0,wc_1,80.0,"{'Pass': 55, 'Fail': 45}",0.7,['Fail'],34.0,0.8,['Fail'],31.0,0.4,['Fail'],28.0,0.1,['Pass'],21.0,0.1,['Fail'],26.0,1.0,['Pass'],39.0,1.0,['Pass'],22.0,0.1,['Fail'],40.0,0.6,['Pass'],21.0,0.3,['Pass'],30.0,0.8,['Pass'],33.0,0.9,['Pass'],38.0,0.8,['Pass'],30.0,0.2,['Pass'],25.0,0.9,['Pass'],39.0,0.8,['Pass'],34.0,0.6,['Fail'],29.0
