time_step,workpiece_id,step_idx,workcell_id,production_time,actual_quality,qc_wc_1_results,qc_wc_1_time,qc_wc_2_results,qc_wc_2_time,qc_wc_3_results,qc_wc_3_time,qc_wc_4_results,qc_wc_4_time,qc_wc_5_results,qc_wc_5_time,qc_wc_6_results,qc_wc_6_time,qc_wc_7_results,qc_wc_7_time,qc_wc_8_results,qc_wc_8_time,qc_wc_9_results,qc_wc_9_time,qc_wc_10_results,qc_wc_10_time,qc_wc_11_results,qc_wc_11_time,qc_wc_12_results,qc_wc_12_time,qc_wc_13_results,qc_wc_13_time,qc_wc_14_results,qc_wc_14_time,qc_wc_15_results,qc_wc_15_time,qc_wc_16_results,qc_wc_16_time,qc_wc_17_results,qc_wc_17_time
0.0,wp_1,1.0,wc_1,60.0,"{'Pass': 38, 'Fail': 62}",['Fail'],22.0,['Pass'],39.0,['Pass'],33.0,['Fail'],26.0,['Pass'],35.0,['Fail'],26.0,['Fail'],21.0,['Fail'],40.0,['Pass'],40.0,['Fail'],37.0,['Fail'],39.0,['Fail'],27.0,['Fail'],37.0,['Fail'],32.0,['Fail'],31.0,['Fail'],24.0,['Fail'],28.0
60.0,wp_2,1.0,wc_1,65.0,"{'Pass': 17, 'Fail': 83}",['Fail'],35.0,['Fail'],31.0,['Pass'],25.0,['Fail'],34.0,['Fail'],20.0,['Pass'],37.0,['Fail'],39.0,['Fail'],37.0,['Pass'],27.0,['Fail'],40.0,['Fail'],29.0,['Fail'],26.0,['Fail'],39.0,['Fail'],40.0,['Fail'],21.0,['Fail'],21.0,['Fail'],40.0
125.0,wp_3,1.0,wc_1,66.0,"{'Pass': 56, 'Fail': 44}",['Fail'],24.0,['Pass'],32.0,['Pass'],36.0,['Fail'],21.0,['Pass'],39.0,['Fail'],20.0,['Pass'],23.0,['Fail'],28.0,['Pass'],39.0,['Pass'],32.0,['Fail'],39.0,['Pass'],31.0,['Fail'],32.0,['Fail'],36.0,['Fail'],24.0,['Pass'],37.0,['Pass'],23.0
191.0,wp_4,1.0,wc_1,55.0,"{'Pass': 74, 'Fail': 26}",['Pass'],27.0,['Pass'],32.0,['Pass'],25.0,['Pass'],20.0,['Pass'],28.0,['Pass'],33.0,['Pass'],22.0,['Pass'],37.0,['Pass'],23.0,['Pass'],26.0,['Pass'],37.0,['Pass'],22.0,['Pass'],34.0,['Fail'],20.0,['Fail'],22.0,['Fail'],22.0,['Fail'],40.0
192.0,wp_3,4.0,wc_4,60.0,"{'Pass': 17, 'Fail': 83}",['Fail'],36.0,['Fail'],21.0,['Fail'],23.0,['Fail'],34.0,['Pass'],30.0,['Fail'],37.0,['Fail'],35.0,['Fail'],20.0,['Pass'],23.0,['Fail'],36.0,['Fail'],28.0,['Fail'],24.0,['Fail'],29.0,['Pass'],26.0,['Pass'],24.0,['Fail'],21.0,['Fail'],26.0
246.0,wp_5,1.0,wc_1,64.0,"{'Pass': 6, 'Fail': 94}",['Fail'],25.0,['Fail'],25.0,['Fail'],36.0,['Fail'],23.0,['Fail'],40.0,['Fail'],37.0,['Fail'],39.0,['Fail'],40.0,['Fail'],27.0,['Fail'],33.0,['Fail'],26.0,['Fail'],38.0,['Fail'],35.0,['Fail'],34.0,['Fail'],34.0,['Pass'],26.0,['Fail'],21.0
247.0,wp_4,3.0,wc_3,71.0,"{'Pass': 75, 'Fail': 25}",['Pass'],30.0,['Pass'],37.0,['Pass'],38.0,['Fail'],31.0,['Pass'],34.0,['Fail'],40.0,['Pass'],28.0,['Pass'],36.0,['Pass'],32.0,['Pass'],22.0,['Pass'],36.0,['Pass'],24.0,['Pass'],33.0,['Fail'],30.0,['Pass'],31.0,['Fail'],24.0,['Pass'],25.0
253.0,wp_3,2.0,wc_2,76.0,"{'Pass': 25, 'Fail': 75}",['Fail'],28.0,['Fail'],27.0,['Pass'],29.0,['Fail'],32.0,['Fail'],29.0,['Fail'],36.0,['Pass'],32.0,['Fail'],30.0,['Pass'],39.0,['Fail'],32.0,['Fail'],20.0,['Fail'],32.0,['Fail'],39.0,['Fail'],35.0,['Fail'],25.0,['Fail'],33.0,['Fail'],21.0
311.0,wp_1,1.0,wc_1,69.0,"{'Pass': 13, 'Fail': 87}",['Pass'],36.0,['Fail'],38.0,['Fail'],22.0,['Fail'],40.0,['Fail'],30.0,['Fail'],40.0,['Fail'],26.0,['Fail'],23.0,['Fail'],29.0,['Fail'],29.0,['Fail'],20.0,['Fail'],38.0,['Fail'],28.0,['Pass'],20.0,['Fail'],35.0,['Pass'],34.0,['Pass'],33.0
319.0,wp_4,4.0,wc_4,75.0,"{'Pass': 51, 'Fail': 49}",['Fail'],24.0,['Fail'],40.0,['Fail'],26.0,['Pass'],29.0,['Pass'],28.0,['Fail'],30.0,['Fail'],39.0,['Fail'],34.0,['Fail'],23.0,['Fail'],39.0,['Fail'],21.0,['Pass'],27.0,['Fail'],24.0,['Pass'],28.0,['Fail'],27.0,['Fail'],24.0,['Fail'],24.0
330.0,wp_3,3.0,wc_3,76.0,"{'Pass': 84, 'Fail': 16}",['Pass'],31.0,['Fail'],26.0,['Fail'],31.0,['Pass'],22.0,['Pass'],33.0,['Pass'],34.0,['Pass'],38.0,['Pass'],29.0,['Fail'],30.0,['Pass'],39.0,['Fail'],38.0,['Pass'],35.0,['Fail'],38.0,['Pass'],37.0,['Pass'],32.0,['Pass'],36.0,['Fail'],20.0
380.0,wp_2,1.0,wc_1,67.0,"{'Pass': 75, 'Fail': 25}",['Fail'],23.0,['Fail'],24.0,['Pass'],29.0,['Fail'],40.0,['Pass'],34.0,['Pass'],27.0,['Pass'],29.0,['Pass'],26.0,['Fail'],25.0,['Pass'],24.0,['Pass'],21.0,['Pass'],39.0,['Fail'],24.0,['Pass'],34.0,['Pass'],30.0,['Pass'],29.0,['Pass'],35.0
407.0,wp_3,4.0,wc_4,57.0,"{'Pass': 71, 'Fail': 29}",['Pass'],22.0,['Pass'],36.0,['Fail'],20.0,['Pass'],35.0,['Pass'],38.0,['Fail'],32.0,['Pass'],31.0,['Fail'],25.0,['Pass'],21.0,['Pass'],33.0,['Fail'],36.0,['Fail'],21.0,['Fail'],32.0,['Pass'],22.0,['Fail'],22.0,['Pass'],38.0,['Pass'],27.0
395.0,wp_4,2.0,wc_2,72.0,"{'Pass': 5, 'Fail': 95}",['Fail'],21.0,['Pass'],27.0,['Fail'],33.0,['Pass'],20.0,['Fail'],32.0,['Fail'],26.0,['Fail'],31.0,['Fail'],37.0,['Fail'],36.0,['Fail'],40.0,['Fail'],29.0,['Fail'],39.0,['Fail'],32.0,['Fail'],34.0,['Fail'],38.0,['Fail'],31.0,['Fail'],27.0
448.0,wp_2,3.0,wc_3,52.0,"{'Pass': 10, 'Fail': 90}",['Fail'],32.0,['Fail'],36.0,['Fail'],35.0,['Fail'],29.0,['Fail'],34.0,['Fail'],31.0,['Fail'],30.0,['Fail'],22.0,['Fail'],31.0,['Pass'],38.0,['Fail'],34.0,['Fail'],25.0,['Fail'],40.0,['Fail'],37.0,['Fail'],40.0,['Pass'],32.0,['Fail'],32.0
