time_step,workpiece_id,step_idx,workcell_id,production_time,actual_quality,qc_wc_1_confidence,qc_wc_1_results,qc_wc_1_time,qc_wc_2_confidence,qc_wc_2_results,qc_wc_2_time,qc_wc_3_confidence,qc_wc_3_results,qc_wc_3_time,qc_wc_4_confidence,qc_wc_4_results,qc_wc_4_time,qc_wc_5_confidence,qc_wc_5_results,qc_wc_5_time,qc_wc_6_confidence,qc_wc_6_results,qc_wc_6_time,qc_wc_7_confidence,qc_wc_7_results,qc_wc_7_time,qc_wc_8_confidence,qc_wc_8_results,qc_wc_8_time,qc_wc_9_confidence,qc_wc_9_results,qc_wc_9_time,qc_wc_10_confidence,qc_wc_10_results,qc_wc_10_time,qc_wc_11_confidence,qc_wc_11_results,qc_wc_11_time,qc_wc_12_confidence,qc_wc_12_results,qc_wc_12_time,qc_wc_13_confidence,qc_wc_13_results,qc_wc_13_time,qc_wc_14_confidence,qc_wc_14_results,qc_wc_14_time,qc_wc_15_confidence,qc_wc_15_results,qc_wc_15_time,qc_wc_16_confidence,qc_wc_16_results,qc_wc_16_time,qc_wc_17_confidence,qc_wc_17_results,qc_wc_17_time
0.0,wp_1,1.0,wc_1,54.0,"{'Pass': 5, 'Fail': 95}",0.6,['Fail'],40.0,0.5,['Fail'],21.0,0.1,['Fail'],37.0,0.6,['Fail'],20.0,0.2,['Fail'],38.0,0.5,['Fail'],23.0,0.2,['Pass'],22.0,1.0,['Fail'],30.0,0.6,['Fail'],39.0,0.7,['Fail'],40.0,0.7,['Fail'],33.0,0.6,['Fail'],29.0,0.1,['Pass'],21.0,0.9,['Fail'],22.0,0.8,['Fail'],39.0,1.0,['Fail'],32.0,0.1,['Pass'],33.0
54.0,wp_2,1.0,wc_1,68.0,"{'Pass': 11, 'Fail': 89}",0.6,['Fail'],35.0,0.5,['Fail'],30.0,0.1,['Fail'],29.0,0.6,['Fail'],28.0,0.2,['Fail'],21.0,0.5,['Fail'],39.0,0.2,['Pass'],38.0,1.0,['Fail'],26.0,0.6,['Fail'],21.0,0.7,['Fail'],40.0,0.7,['Fail'],25.0,0.6,['Fail'],27.0,0.1,['Pass'],23.0,0.9,['Fail'],23.0,0.8,['Fail'],34.0,1.0,['Fail'],21.0,0.1,['Fail'],24.0
122.0,wp_3,1.0,wc_1,77.0,"{'Pass': 15, 'Fail': 85}",0.6,['Pass'],32.0,0.5,['Fail'],32.0,0.1,['Fail'],26.0,0.6,['Fail'],29.0,0.2,['Fail'],22.0,0.5,['Fail'],24.0,0.2,['Fail'],24.0,1.0,['Fail'],34.0,0.6,['Fail'],39.0,0.7,['Fail'],27.0,0.7,['Fail'],40.0,0.6,['Fail'],20.0,0.1,['Pass'],21.0,0.9,['Fail'],34.0,0.8,['Fail'],40.0,1.0,['Fail'],22.0,0.1,['Fail'],28.0
199.0,wp_4,1.0,wc_1,71.0,"{'Pass': 75, 'Fail': 25}",0.6,['Pass'],30.0,0.5,['Fail'],24.0,0.1,['Pass'],23.0,0.6,['Pass'],36.0,0.2,['Pass'],36.0,0.5,['Pass'],31.0,0.2,['Fail'],34.0,1.0,['Pass'],38.0,0.6,['Pass'],26.0,0.7,['Pass'],39.0,0.7,['Pass'],39.0,0.6,['Pass'],33.0,0.1,['Pass'],33.0,0.9,['Pass'],31.0,0.8,['Pass'],36.0,1.0,['Pass'],30.0,0.1,['Pass'],27.0
270.0,wp_5,1.0,wc_1,57.0,"{'Pass': 87, 'Fail': 13}",0.6,['Pass'],36.0,0.5,['Pass'],34.0,0.1,['Fail'],38.0,0.6,['Pass'],30.0,0.2,['Pass'],40.0,0.5,['Pass'],24.0,0.2,['Fail'],21.0,1.0,['Pass'],25.0,0.6,['Pass'],29.0,0.7,['Pass'],20.0,0.7,['Pass'],35.0,0.6,['Pass'],25.0,0.1,['Fail'],30.0,0.9,['Pass'],33.0,0.8,['Pass'],32.0,1.0,['Pass'],27.0,0.1,['Fail'],39.0
271.0,wp_4,4.0,wc_4,80.0,"{'Pass': 66, 'Fail': 34}",0.6,['Pass'],32.0,0.5,['Pass'],27.0,0.1,['Fail'],20.0,0.6,['Pass'],40.0,0.2,['Pass'],39.0,0.5,['Fail'],22.0,0.2,['Fail'],36.0,1.0,['Pass'],20.0,0.6,['Pass'],29.0,0.7,['Pass'],21.0,0.7,['Pass'],36.0,0.6,['Pass'],33.0,0.1,['Fail'],21.0,0.9,['Pass'],29.0,0.8,['Pass'],24.0,1.0,['Pass'],23.0,0.1,['Fail'],38.0
328.0,wp_5,2.0,wc_2,68.0,"{'Pass': 68, 'Fail': 32}",0.6,['Pass'],25.0,0.5,['Pass'],27.0,0.1,['Fail'],30.0,0.6,['Pass'],32.0,0.2,['Pass'],23.0,0.5,['Fail'],26.0,0.2,['Fail'],39.0,1.0,['Pass'],37.0,0.6,['Fail'],36.0,0.7,['Pass'],20.0,0.7,['Fail'],27.0,0.6,['Pass'],20.0,0.1,['Fail'],21.0,0.9,['Pass'],28.0,0.8,['Pass'],31.0,1.0,['Pass'],34.0,0.1,['Fail'],37.0
328.0,wp_1,1.0,wc_1,79.0,"{'Pass': 84, 'Fail': 16}",0.6,['Pass'],39.0,0.5,['Pass'],21.0,0.1,['Pass'],37.0,0.6,['Pass'],36.0,0.2,['Fail'],40.0,0.5,['Pass'],24.0,0.2,['Pass'],23.0,1.0,['Pass'],36.0,0.6,['Pass'],34.0,0.7,['Pass'],25.0,0.7,['Pass'],39.0,0.6,['Pass'],31.0,0.1,['Fail'],27.0,0.9,['Pass'],20.0,0.8,['Pass'],39.0,1.0,['Pass'],37.0,0.1,['Fail'],26.0
352.0,wp_4,3.0,wc_3,61.0,"{'Pass': 65, 'Fail': 35}",0.6,['Fail'],38.0,0.5,['Fail'],20.0,0.1,['Fail'],37.0,0.6,['Pass'],28.0,0.2,['Pass'],33.0,0.5,['Fail'],27.0,0.2,['Pass'],38.0,1.0,['Pass'],36.0,0.6,['Pass'],28.0,0.7,['Pass'],26.0,0.7,['Pass'],20.0,0.6,['Pass'],34.0,0.1,['Fail'],22.0,0.9,['Pass'],21.0,0.8,['Fail'],24.0,1.0,['Pass'],20.0,0.1,['Pass'],37.0
408.0,wp_1,2.0,wc_2,51.0,"{'Pass': 89, 'Fail': 11}",0.6,['Pass'],32.0,0.5,['Pass'],25.0,0.1,['Fail'],40.0,0.6,['Pass'],39.0,0.2,['Pass'],27.0,0.5,['Pass'],38.0,0.2,['Fail'],35.0,1.0,['Pass'],36.0,0.6,['Pass'],27.0,0.7,['Pass'],32.0,0.7,['Pass'],21.0,0.6,['Pass'],35.0,0.1,['Fail'],30.0,0.9,['Pass'],23.0,0.8,['Pass'],28.0,1.0,['Pass'],26.0,0.1,['Fail'],32.0
407.0,wp_2,1.0,wc_1,55.0,"{'Pass': 62, 'Fail': 38}",0.6,['Pass'],30.0,0.5,['Fail'],35.0,0.1,['Pass'],22.0,0.6,['Fail'],30.0,0.2,['Fail'],34.0,0.5,['Fail'],36.0,0.2,['Fail'],20.0,1.0,['Pass'],37.0,0.6,['Pass'],37.0,0.7,['Pass'],39.0,0.7,['Pass'],28.0,0.6,['Pass'],22.0,0.1,['Fail'],25.0,0.9,['Fail'],23.0,0.8,['Pass'],31.0,1.0,['Pass'],27.0,0.1,['Fail'],34.0
397.0,wp_5,4.0,wc_4,67.0,"{'Pass': 44, 'Fail': 56}",0.6,['Pass'],31.0,0.5,['Fail'],24.0,0.1,['Fail'],32.0,0.6,['Pass'],38.0,0.2,['Fail'],22.0,0.5,['Pass'],38.0,0.2,['Pass'],25.0,1.0,['Fail'],22.0,0.6,['Fail'],34.0,0.7,['Fail'],26.0,0.7,['Pass'],39.0,0.6,['Pass'],33.0,0.1,['Fail'],38.0,0.9,['Fail'],25.0,0.8,['Fail'],22.0,1.0,['Fail'],36.0,0.1,['Fail'],20.0
462.0,wp_3,1.0,wc_1,50.0,"{'Pass': 58, 'Fail': 42}",0.6,['Pass'],21.0,0.5,['Fail'],25.0,0.1,['Fail'],31.0,0.6,['Pass'],37.0,0.2,['Fail'],21.0,0.5,['Fail'],35.0,0.2,['Fail'],34.0,1.0,['Pass'],39.0,0.6,['Pass'],35.0,0.7,['Pass'],21.0,0.7,['Fail'],34.0,0.6,['Fail'],24.0,0.1,['Pass'],21.0,0.9,['Pass'],23.0,0.8,['Pass'],32.0,1.0,['Pass'],23.0,0.1,['Fail'],39.0
465.0,wp_2,4.0,wc_4,56.0,"{'Pass': 45, 'Fail': 55}",0.6,['Fail'],22.0,0.5,['Pass'],29.0,0.1,['Fail'],35.0,0.6,['Pass'],26.0,0.2,['Pass'],22.0,0.5,['Pass'],20.0,0.2,['Pass'],38.0,1.0,['Pass'],35.0,0.6,['Fail'],24.0,0.7,['Fail'],31.0,0.7,['Pass'],36.0,0.6,['Fail'],21.0,0.1,['Pass'],25.0,0.9,['Fail'],35.0,0.8,['Fail'],26.0,1.0,['Fail'],35.0,0.1,['Pass'],37.0
459.0,wp_4,2.0,wc_2,62.0,"{'Pass': 66, 'Fail': 34}",0.6,['Pass'],31.0,0.5,['Pass'],26.0,0.1,['Pass'],34.0,0.6,['Pass'],29.0,0.2,['Pass'],28.0,0.5,['Fail'],34.0,0.2,['Fail'],39.0,1.0,['Pass'],27.0,0.6,['Pass'],34.0,0.7,['Pass'],39.0,0.7,['Fail'],26.0,0.6,['Pass'],38.0,0.1,['Fail'],34.0,0.9,['Pass'],25.0,0.8,['Pass'],36.0,1.0,['Pass'],34.0,0.1,['Fail'],29.0
460.0,wp_1,3.0,wc_3,62.0,"{'Pass': 70, 'Fail': 30}",0.6,['Pass'],22.0,0.5,['Pass'],35.0,0.1,['Fail'],28.0,0.6,['Pass'],29.0,0.2,['Pass'],23.0,0.5,['Pass'],32.0,0.2,['Fail'],27.0,1.0,['Pass'],28.0,0.6,['Pass'],33.0,0.7,['Pass'],27.0,0.7,['Pass'],26.0,0.6,['Pass'],32.0,0.1,['Pass'],25.0,0.9,['Pass'],33.0,0.8,['Pass'],38.0,1.0,['Pass'],21.0,0.1,['Pass'],21.0
522.0,wp_2,2.0,wc_2,51.0,"{'Pass': 36, 'Fail': 64}",0.6,['Fail'],24.0,0.5,['Fail'],30.0,0.1,['Pass'],30.0,0.6,['Pass'],40.0,0.2,['Pass'],20.0,0.5,['Fail'],24.0,0.2,['Pass'],25.0,1.0,['Fail'],32.0,0.6,['Fail'],36.0,0.7,['Fail'],33.0,0.7,['Pass'],39.0,0.6,['Pass'],24.0,0.1,['Fail'],29.0,0.9,['Fail'],28.0,0.8,['Fail'],40.0,1.0,['Fail'],39.0,0.1,['Pass'],28.0
522.0,wp_4,5.0,wc_5,57.0,"{'Pass': 33, 'Fail': 67}",0.6,['Fail'],30.0,0.5,['Fail'],39.0,0.1,['Pass'],35.0,0.6,['Fail'],39.0,0.2,['Pass'],36.0,0.5,['Pass'],25.0,0.2,['Pass'],26.0,1.0,['Fail'],26.0,0.6,['Fail'],28.0,0.7,['Fail'],21.0,0.7,['Fail'],40.0,0.6,['Fail'],21.0,0.1,['Fail'],25.0,0.9,['Fail'],36.0,0.8,['Fail'],20.0,1.0,['Fail'],27.0,0.1,['Fail'],37.0
522.0,wp_5,3.0,wc_3,59.0,"{'Pass': 2, 'Fail': 98}",0.6,['Fail'],34.0,0.5,['Fail'],24.0,0.1,['Fail'],25.0,0.6,['Fail'],25.0,0.2,['Fail'],38.0,0.5,['Fail'],21.0,0.2,['Fail'],32.0,1.0,['Fail'],21.0,0.6,['Fail'],36.0,0.7,['Fail'],22.0,0.7,['Fail'],39.0,0.6,['Fail'],26.0,0.1,['Pass'],24.0,0.9,['Fail'],34.0,0.8,['Fail'],32.0,1.0,['Fail'],20.0,0.1,['Fail'],27.0
521.0,wp_3,4.0,wc_4,80.0,"{'Pass': 25, 'Fail': 75}",0.6,['Fail'],21.0,0.5,['Fail'],20.0,0.1,['Fail'],36.0,0.6,['Fail'],33.0,0.2,['Pass'],22.0,0.5,['Pass'],34.0,0.2,['Pass'],33.0,1.0,['Fail'],33.0,0.6,['Fail'],34.0,0.7,['Fail'],31.0,0.7,['Fail'],30.0,0.6,['Fail'],34.0,0.1,['Pass'],30.0,0.9,['Fail'],21.0,0.8,['Fail'],40.0,1.0,['Fail'],30.0,0.1,['Fail'],39.0
574.0,wp_2,2.0,wc_2,62.0,"{'Pass': 10, 'Fail': 90}",0.6,['Fail'],28.0,0.5,['Fail'],35.0,0.1,['Fail'],32.0,0.6,['Fail'],26.0,0.2,['Fail'],34.0,0.5,['Fail'],36.0,0.2,['Fail'],26.0,1.0,['Fail'],36.0,0.6,['Fail'],26.0,0.7,['Fail'],28.0,0.7,['Fail'],39.0,0.6,['Fail'],24.0,0.1,['Fail'],32.0,0.9,['Fail'],26.0,0.8,['Fail'],21.0,1.0,['Fail'],27.0,0.1,['Fail'],38.0
582.0,wp_5,3.0,wc_3,55.0,"{'Pass': 73, 'Fail': 27}",0.6,['Pass'],21.0,0.5,['Pass'],26.0,0.1,['Pass'],21.0,0.6,['Pass'],27.0,0.2,['Fail'],40.0,0.5,['Pass'],36.0,0.2,['Pass'],33.0,1.0,['Pass'],35.0,0.6,['Pass'],34.0,0.7,['Pass'],27.0,0.7,['Pass'],24.0,0.6,['Fail'],38.0,0.1,['Fail'],40.0,0.9,['Pass'],40.0,0.8,['Pass'],39.0,1.0,['Pass'],26.0,0.1,['Fail'],35.0
580.0,wp_4,5.0,wc_5,72.0,"{'Pass': 45, 'Fail': 55}",0.6,['Fail'],26.0,0.5,['Fail'],25.0,0.1,['Fail'],27.0,0.6,['Pass'],23.0,0.2,['Pass'],32.0,0.5,['Fail'],22.0,0.2,['Fail'],27.0,1.0,['Fail'],34.0,0.6,['Fail'],29.0,0.7,['Fail'],26.0,0.7,['Pass'],38.0,0.6,['Fail'],21.0,0.1,['Fail'],21.0,0.9,['Pass'],29.0,0.8,['Fail'],24.0,1.0,['Fail'],20.0,0.1,['Pass'],34.0
602.0,wp_1,4.0,wc_4,73.0,"{'Pass': 62, 'Fail': 38}",0.6,['Pass'],32.0,0.5,['Pass'],22.0,0.1,['Fail'],28.0,0.6,['Pass'],25.0,0.2,['Pass'],39.0,0.5,['Fail'],25.0,0.2,['Fail'],27.0,1.0,['Pass'],23.0,0.6,['Pass'],23.0,0.7,['Pass'],40.0,0.7,['Fail'],26.0,0.6,['Fail'],32.0,0.1,['Fail'],31.0,0.9,['Pass'],30.0,0.8,['Pass'],29.0,1.0,['Pass'],22.0,0.1,['Pass'],31.0
636.0,wp_3,2.0,wc_2,52.0,"{'Pass': 65, 'Fail': 35}",0.6,['Pass'],40.0,0.5,['Fail'],30.0,0.1,['Fail'],28.0,0.6,['Pass'],20.0,0.2,['Fail'],34.0,0.5,['Pass'],37.0,0.2,['Pass'],33.0,1.0,['Pass'],24.0,0.6,['Pass'],30.0,0.7,['Pass'],21.0,0.7,['Pass'],33.0,0.6,['Pass'],32.0,0.1,['Pass'],35.0,0.9,['Pass'],20.0,0.8,['Pass'],30.0,1.0,['Pass'],34.0,0.1,['Fail'],38.0
638.0,wp_2,3.0,wc_3,76.0,"{'Pass': 43, 'Fail': 57}",0.6,['Fail'],22.0,0.5,['Pass'],34.0,0.1,['Fail'],33.0,0.6,['Fail'],24.0,0.2,['Pass'],23.0,0.5,['Pass'],21.0,0.2,['Pass'],39.0,1.0,['Fail'],34.0,0.6,['Fail'],34.0,0.7,['Pass'],21.0,0.7,['Fail'],22.0,0.6,['Fail'],21.0,0.1,['Fail'],33.0,0.9,['Fail'],24.0,0.8,['Fail'],20.0,1.0,['Fail'],23.0,0.1,['Pass'],31.0
653.0,wp_4,5.0,wc_5,76.0,"{'Pass': 7, 'Fail': 93}",0.6,['Fail'],37.0,0.5,['Fail'],24.0,0.1,['Pass'],27.0,0.6,['Fail'],30.0,0.2,['Fail'],40.0,0.5,['Fail'],31.0,0.2,['Fail'],34.0,1.0,['Fail'],39.0,0.6,['Fail'],24.0,0.7,['Fail'],29.0,0.7,['Fail'],35.0,0.6,['Fail'],25.0,0.1,['Pass'],23.0,0.9,['Fail'],33.0,0.8,['Fail'],20.0,1.0,['Fail'],32.0,0.1,['Fail'],34.0
675.0,wp_5,4.0,wc_4,58.0,"{'Pass': 87, 'Fail': 13}",0.6,['Pass'],34.0,0.5,['Pass'],28.0,0.1,['Fail'],40.0,0.6,['Pass'],22.0,0.2,['Fail'],38.0,0.5,['Pass'],40.0,0.2,['Fail'],27.0,1.0,['Pass'],37.0,0.6,['Pass'],25.0,0.7,['Pass'],27.0,0.7,['Pass'],40.0,0.6,['Pass'],38.0,0.1,['Pass'],40.0,0.9,['Pass'],32.0,0.8,['Pass'],31.0,1.0,['Pass'],27.0,0.1,['Pass'],35.0
715.0,wp_2,2.0,wc_2,52.0,"{'Pass': 13, 'Fail': 87}",0.6,['Fail'],40.0,0.5,['Fail'],26.0,0.1,['Fail'],31.0,0.6,['Fail'],22.0,0.2,['Pass'],37.0,0.5,['Fail'],32.0,0.2,['Fail'],25.0,1.0,['Fail'],36.0,0.6,['Fail'],20.0,0.7,['Fail'],36.0,0.7,['Fail'],40.0,0.6,['Fail'],40.0,0.1,['Fail'],23.0,0.9,['Fail'],37.0,0.8,['Fail'],28.0,1.0,['Fail'],23.0,0.1,['Pass'],31.0
714.0,wp_3,3.0,wc_3,58.0,"{'Pass': 43, 'Fail': 57}",0.6,['Fail'],36.0,0.5,['Fail'],21.0,0.1,['Fail'],20.0,0.6,['Pass'],30.0,0.2,['Fail'],38.0,0.5,['Pass'],29.0,0.2,['Pass'],37.0,1.0,['Fail'],30.0,0.6,['Fail'],24.0,0.7,['Pass'],34.0,0.7,['Fail'],26.0,0.6,['Pass'],20.0,0.1,['Pass'],23.0,0.9,['Pass'],40.0,0.8,['Fail'],37.0,1.0,['Fail'],20.0,0.1,['Pass'],27.0
730.0,wp_1,5.0,wc_5,55.0,"{'Pass': 0, 'Fail': 100}",0.6,['Fail'],20.0,0.5,['Fail'],38.0,0.1,['Pass'],30.0,0.6,['Fail'],31.0,0.2,['Fail'],34.0,0.5,['Fail'],32.0,0.2,['Pass'],25.0,1.0,['Fail'],40.0,0.6,['Fail'],39.0,0.7,['Fail'],36.0,0.7,['Fail'],20.0,0.6,['Fail'],30.0,0.1,['Fail'],24.0,0.9,['Fail'],30.0,0.8,['Fail'],36.0,1.0,['Fail'],38.0,0.1,['Fail'],32.0
768.0,wp_2,2.0,wc_2,60.0,"{'Pass': 75, 'Fail': 25}",0.6,['Pass'],36.0,0.5,['Fail'],36.0,0.1,['Fail'],37.0,0.6,['Pass'],22.0,0.2,['Fail'],37.0,0.5,['Pass'],29.0,0.2,['Pass'],39.0,1.0,['Pass'],36.0,0.6,['Fail'],28.0,0.7,['Pass'],40.0,0.7,['Pass'],29.0,0.6,['Pass'],31.0,0.1,['Fail'],36.0,0.9,['Pass'],30.0,0.8,['Pass'],28.0,1.0,['Pass'],39.0,0.1,['Fail'],24.0
773.0,wp_3,3.0,wc_3,69.0,"{'Pass': 81, 'Fail': 19}",0.6,['Fail'],32.0,0.5,['Pass'],26.0,0.1,['Pass'],30.0,0.6,['Fail'],28.0,0.2,['Pass'],33.0,0.5,['Pass'],20.0,0.2,['Fail'],29.0,1.0,['Pass'],31.0,0.6,['Pass'],29.0,0.7,['Pass'],25.0,0.7,['Pass'],28.0,0.6,['Pass'],27.0,0.1,['Pass'],24.0,0.9,['Pass'],27.0,0.8,['Pass'],31.0,1.0,['Pass'],22.0,0.1,['Fail'],25.0
785.0,wp_4,5.0,wc_5,66.0,"{'Pass': 59, 'Fail': 41}",0.6,['Pass'],28.0,0.5,['Fail'],25.0,0.1,['Fail'],22.0,0.6,['Pass'],24.0,0.2,['Fail'],23.0,0.5,['Pass'],21.0,0.2,['Fail'],23.0,1.0,['Pass'],26.0,0.6,['Fail'],33.0,0.7,['Pass'],27.0,0.7,['Pass'],32.0,0.6,['Pass'],20.0,0.1,['Pass'],40.0,0.9,['Pass'],36.0,0.8,['Pass'],32.0,1.0,['Pass'],25.0,0.1,['Fail'],32.0
