Step,Production_Time_Min,Production_Time_Max,Production_Time,Projected_Next_Production_Time,Validation_Time_Min,Validation_Time_Max,Validation_Time,Part1,Part2,Part3,Part4,Next_Step_1,Next_Step_2,Next_Step_3,Next_Step_4,Delay,Validator_Type
0,50,80,0,0,20,40,0,System_Board,Screws,N_A,N_A,1,2,3,4,,Human
1,50,80,0,0,20,40,0,IO_Panel,Screws,USB_Cable,Data_Cable,2,3,-1,-1,,Human
2,50,80,0,0,20,40,0,Power_Switch,Power_Cable,N_A,N_A,3,-1,-1,-1,,Human
3,50,80,0,0,20,40,0,Thermal_Sensor,Thermal_Sensor_Cable,N_A,N_A,4,-1,-1,-1,,Human
4,50,80,0,0,20,40,0,System_Fan,Grommets,Fan_Cable,N_A,1,5,-1,-1,,Human
5,50,80,0,0,20,40,0,Processor,Processor_Socket,N_A,N_A,6,7,8,9,,Human
6,50,80,0,0,20,40,0,Captive_Screws,Heat_Sink_Assembly,Fan_Cable,N_A,7,-1,-1,-1,,Human
7,50,80,0,0,20,40,0,Power_Supply,4pin_Power_Cable,8pin_Power_Cable,Screws,8,-1,-1,-1,,Human
8,50,80,0,0,20,40,0,Optical_Drive,Power_Cable,Data_Cable,N_A,9,-1,-1,-1,,Human
9,50,80,0,0,20,40,0,Hard_Drive,Power_Cable,Data_Cable,N_A,6,10,-1,-1,,Human
10,50,80,0,0,20,40,0,CoinCell_Battery,N_A,N_A,N_A,11,-1,-1,-1,,Human
11,50,80,0,0,20,40,0,Memory_Card,N_A,N_A,N_A,12,-1,-1,-1,,Human
12,50,80,0,0,20,40,0,Expansion_Card,N_A,N_A,N_A,13,-1,-1,-1,,Human
13,50,80,0,0,20,40,0,Front_Bezel,N_A,N_A,N_A,14,-1,-1,-1,,Human
14,50,80,0,0,20,40,0,WLAN_Card,WLAN_Cable,N_A,N_A,15,-1,-1,-1,,Human
15,50,80,0,0,20,40,0,Intrusion_Switch,N_A,N_A,N_A,16,-1,-1,-1,,Human
16,50,80,0,0,20,40,0,Cover,N_A,N_A,N_A,-1,-1,-1,-1,,Human
