Cover,Intrusion_Switch,WLAN_Card,Front_Bezel,Expansion_Card,Memory_Card,CoinCell_Battery,Hard_Drive,Optical_Drive,Power_Supply,Heat_Sink_Assembly,Processor,Processor_Socket,System_Fan,Thermal_Sensor,Power_Switch,IO_Panel,System_Board,Screws,Grommets,Power_Cable,Data_Cable,WLAN_Cable,4pin_Power_Cable,8pin_Power_Cable,Fan_Cable,Captive_Screws,Thermal_Sensor_Cable,USB_Cable,N_A
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,0
1001,2001,3001,4001,5001,6001,7001,8001,9001,10001,11001,12001,13001,14001,15001,16001,17001,18001,19001,20001,21001,22001,23001,24001,25001,26001,27001,28001,29001,0
1002,2002,3002,4002,5002,6002,7002,8002,9002,10002,11002,12002,13002,14002,15002,16002,17002,18002,19002,20002,21002,22002,23002,24002,25002,26002,27002,28002,29002,0
1003,2003,3003,4003,5003,6003,7003,8003,9003,10003,11003,12003,13003,14003,15003,16003,17003,18003,19003,20003,21003,22003,23003,24003,25003,26003,27003,28003,29003,0
1004,2004,3004,4004,5004,6004,7004,8004,9004,10004,11004,12004,13004,14004,15004,16004,17004,18004,19004,20004,21004,22004,23004,24004,25004,26004,27004,28004,29004,0
1005,2005,3005,4005,5005,6005,7005,8005,9005,10005,11005,12005,13005,14005,15005,16005,17005,18005,19005,20005,21005,22005,23005,24005,25005,26005,27005,28005,29005,0
1006,2006,3006,4006,5006,6006,7006,8006,9006,10006,11006,12006,13006,14006,15006,16006,17006,18006,19006,20006,21006,22006,23006,24006,25006,26006,27006,28006,29006,0
1007,2007,3007,4007,5007,6007,7007,8007,9007,10007,11007,12007,13007,14007,15007,16007,17007,18007,19007,20007,21007,22007,23007,24007,25007,26007,27007,28007,29007,0
1008,2008,3008,4008,5008,6008,7008,8008,9008,10008,11008,12008,13008,14008,15008,16008,17008,18008,19008,20008,21008,22008,23008,24008,25008,26008,27008,28008,29008,0
1009,2009,3009,4009,5009,6009,7009,8009,9009,10009,11009,12009,13009,14009,15009,16009,17009,18009,19009,20009,21009,22009,23009,24009,25009,26009,27009,28009,29009,0
1010,2010,3010,4010,5010,6010,7010,8010,9010,10010,11010,12010,13010,14010,15010,16010,17010,18010,19010,20010,21010,22010,23010,24010,25010,26010,27010,28010,29010,0
1011,2011,3011,4011,5011,6011,7011,8011,9011,10011,11011,12011,13011,14011,15011,16011,17011,18011,19011,20011,21011,22011,23011,24011,25011,26011,27011,28011,29011,0
1012,2012,3012,4012,5012,6012,7012,8012,9012,10012,11012,12012,13012,14012,15012,16012,17012,18012,19012,20012,21012,22012,23012,24012,25012,26012,27012,28012,29012,0
1013,2013,3013,4013,5013,6013,7013,8013,9013,10013,11013,12013,13013,14013,15013,16013,17013,18013,19013,20013,21013,22013,23013,24013,25013,26013,27013,28013,29013,0
